Date,Value
2025-01-01,120
2025-01-02,122
2025-01-03,121
2025-01-04,123
2025-01-05,124
2025-01-06,126
2025-01-07,125
2025-01-08,127
2025-01-09,129
2025-01-10,128
2025-01-11,130
2025-01-12,131
2025-01-13,133
2025-01-14,132
2025-01-15,134
2025-01-16,136
2025-01-17,135
2025-01-18,137
2025-01-19,138
2025-01-20,140
2025-01-21,139
2025-01-22,141
2025-01-23,143
2025-01-24,142
2025-01-25,144
2025-01-26,145
2025-01-27,147
2025-01-28,146
2025-01-29,148
2025-01-30,150
2025-01-31,149
2025-02-01,151
2025-02-02,152
2025-02-03,154
2025-02-04,153
2025-02-05,155
2025-02-06,157
2025-02-07,156
2025-02-08,158
2025-02-09,159
2025-02-10,161
2025-02-11,160
2025-02-12,162
2025-02-13,164
2025-02-14,163
2025-02-15,165
2025-02-16,166
2025-02-17,168
2025-02-18,167
2025-02-19,169
2025-02-20,171
2025-02-21,170
2025-02-22,172
2025-02-23,173
2025-02-24,175
2025-02-25,174
2025-02-26,176
2025-02-27,178
2025-02-28,177
2025-03-01,179
